Symptoms,Diagnosis,Differential Diagnosis,Advise,Image analysis,
IrregularL1M2WhiteIrregularM1MarblewhitePiNADSharpYes MouthHyesBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2WhiteIrregularM1MarblewhiteDarkSharpYes MouthHyesBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2WhiteIrregularM1MarblewhitePiNADSNOYes MouthHyesBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2WhiteIrregularM1MarblewhiteDarkSNOYes MouthHyesBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2RedIrregularM1MarblewhitePiNADSharpYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2RedIrregularM1MarblewhiteDarkSharpYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2RedIrregularM1MarblewhitePiNADSNOYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2RedIrregularM1MarblewhiteDarkSNOYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2WhiteIrregularM1MarblewhitePiNADSharpYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2WhiteIrregularM1MarblewhiteDarkSharpYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2WhiteIrregularM1MarblewhitePiNADSNOYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2WhiteIrregularM1MarblewhiteDarkSNOYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSharpYes MouthHyesMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSharpYes MouthHyesMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSNOYes MouthHyesMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSNOYes MouthHyesMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSharpYes MouthHyesMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSharpYes MouthHyesMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSNOYes MouthHyesMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSNOYes MouthHyesMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSharpYes MouthSmokingMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSharpYes MouthSmokingMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSNOYes MouthSmokingMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSNOYes MouthSmokingMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSharpYes MouthSmokingMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSharpYes MouthSmokingMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSNOYes MouthSmokingMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSNOYes MouthSmokingMixedareas,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSharpYes MouthHyesBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSharpYes MouthHyesBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSNOYes MouthHyesBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSNOYes MouthHyesBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSharpYes MouthHyesBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSharpYes MouthHyesBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSNOYes MouthHyesBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSNOYes MouthHyesBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSharpYes MouthSmokingBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSharpYes MouthSmokingBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSNOYes MouthSmokingBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSNOYes MouthSmokingBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSharpYes MouthSmokingBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSharpYes MouthSmokingBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSNOYes MouthSmokingBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSNOYes MouthSmokingBsulcus,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSharpYes MouthHyesPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSharpYes MouthHyesPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSNOYes MouthHyesPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSNOYes MouthHyesPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSharpYes MouthHyesPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSharpYes MouthHyesPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSNOYes MouthHyesPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSNOYes MouthHyesPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSharpYes MouthSmokingPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSharpYes MouthSmokingPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSNOYes MouthSmokingPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSNOYes MouthSmokingPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSharpYes MouthSmokingPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSharpYes MouthSmokingPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSNOYes MouthSmokingPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSNOYes MouthSmokingPalate,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSharpYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSharpYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSNOYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSNOYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSharpYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSharpYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSNOYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSNOYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSharpYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSharpYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhitePiNADSNOYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2RedIrregularM1MarblewhiteDarkSNOYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSharpYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSharpYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhitePiNADSNOYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularM1M2WhiteIrregularM1MarblewhiteDarkSNOYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
UNADRedGNADMNADDarkSNOYesHyesBmucosa,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADPiNADSNOYesHyesBmucosa,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADDarkSNOYesSmokingBmucosa,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADPiNADSNOYesSmokingBmucosa,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADWhiteGNADMNADDarkSNOYesSmokingBmucosa,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADWhiteGNADMNADPiNADSNOYesSmokingBmucosa,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADDarkSNOYesHyesMixedareas,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADPiNADSNOYesHyesMixedareas,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADDarkSNOYesSmokingMixedareas,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADPiNADSNOYesSmokingMixedareas,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADWhiteGNADMNADDarkSNOYesSmokingMixedareas,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADWhiteGNADMNADPiNADSNOYesSmokingMixedareas,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADDarkSNOYesHyesBsulcus,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADPiNADSNOYesHyesBsulcus,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADDarkSNOYesSmokingBsulcus,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADPiNADSNOYesSmokingBsulcus,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADDarkSNOYesHyesPalate,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADPiNADSNOYesHyesPalate,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADDarkSNOYesSmokingPalate,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADRedGNADMNADPiNADSNOYesSmokingPalate,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
UNADWhiteGNADMNADDarkSNOYesSmokingPalate,SPECKLEDLEUKOPLAKIA,CANDIDIASIS & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND FOLLOW UP IS MUST & IF NO CHANGE AFTER 2 WEEKS & ADVISE BIOPSY ,,
